trip_id,member_id,destination,duration_days,cost_usd,activities,start_date_clean
T1031,1049,Barcelona,6,210000,"['safari', 'hiking']",2025-05-15
T1032,1049,Bali,5,111000,['kayaking'],2022-08-10
T1033,1049,Denver,8,171000,"['safari', 'hiking', 'kayaking']",2024-07-18
T1034,1487,Banff,10,243000,"['spa', 'beach', 'snorkeling']",2024-02-14
T1035,1487,Rome,6,233000,"['spa', 'snorkeling']",2021-09-02
T1036,1487,Cape Town,6,303000,"['snorkeling', 'spa']",2024-06-22
T1037,1487,Barcelona,9,179000,"['snorkeling', 'spa', 'beach']",2023-07-15
T1038,1487,Rome,4,313000,"['beach', 'spa', 'snorkeling']",2022-10-14
T1039,1142,Tokyo,8,119000,"['wine tasting', 'spa']",2022-02-28
T1040,1432,Paris,8,418000,['hiking'],2025-06-05
T1041,1432,Cape Town,9,275000,"['hiking', 'safari', 'kayaking']",2024-02-06
T1042,1432,Cancun,3,93000,['hiking'],2023-10-14
T1043,1432,Cancun,6,78000,"['kayaking', 'hiking', 'safari']",2023-03-12
T1044,1432,Tokyo,4,93000,"['safari', 'hiking']",2024-03-17
T1045,1250,Cape Town,3,258000,['hiking'],2023-05-22
T1046,1250,Phuket,9,590000,"['hiking', 'safari', 'kayaking']",2025-06-24
T1047,1806,Tokyo,7,112000,"['shopping', 'wine tasting', 'spa']",2024-05-19
T1048,1806,Tokyo,5,103000,"['shopping', 'spa', 'wine tasting']",2024-01-23
T1049,1806,Paris,4,419000,"['shopping', 'wine tasting']",2023-08-29
T1050,1806,Denver,9,183000,"['shopping', 'wine tasting']",2022-06-02
T1051,1806,Rome,6,229000,"['shopping', 'wine tasting', 'spa']",2023-08-25
T1052,1133,Rome,9,302000,"['hiking', 'museum tour']",2021-10-17
T1053,1133,Denver,7,159000,['food tour'],2023-01-19
T1054,1133,Cape Town,10,268000,"['hiking', 'museum tour', 'food tour']",2023-07-05
T1055,1133,Rome,4,313000,['food tour'],2024-06-27
T1056,1104,Tokyo,10,113000,['hiking'],2022-09-19
T1057,1104,Bali,5,129000,"['hiking', 'safari', 'kayaking']",2023-05-22
T1058,1104,Tokyo,10,116000,['hiking'],2022-04-24
T1059,1006,Banff,9,286000,['hiking'],2025-06-18
T1060,1006,Rome,4,265000,"['hiking', 'safari', 'kayaking']",2021-12-11
T1061,1516,Banff,3,270000,"['kayaking', 'hiking', 'safari']",2022-12-11
T1062,1516,Cape Town,4,272000,"['hiking', 'kayaking']",2024-08-30
T1063,1504,Barcelona,6,156000,"['food tour', 'cultural show', 'museum tour']",2024-11-19
T1064,1504,Tokyo,6,90000,"['food tour', 'cultural show']",2021-10-09
T1065,1504,Rome,10,220000,"['museum tour', 'cultural show', 'food tour']",2021-10-12
T1066,1504,Banff,4,329000,"['cultural show', 'food tour']",2023-10-12
T1067,1992,Tokyo,9,109000,"['shopping', 'wine tasting']",2025-06-06
T1068,1480,Cancun,6,65000,"['safari', 'hiking']",2024-03-08
T1069,1429,Cancun,4,71000,"['snorkeling', 'beach', 'spa']",2022-07-19
T1070,1553,Cape Town,6,287000,['snorkeling'],2024-09-17
T1071,1553,Rome,8,245000,['beach'],2023-08-30
T1072,1553,Cape Town,9,246000,['snorkeling'],2021-11-11
T1073,1553,Bali,7,92000,"['beach', 'snorkeling', 'spa']",2023-07-14
T1074,1553,Denver,3,133000,"['beach', 'spa']",2023-08-22
T1075,1347,Cape Town,10,241000,['snorkeling'],2022-02-21
T1076,1347,Tokyo,3,83000,"['beach', 'spa']",2022-09-05
T1077,1119,Rome,10,257000,"['spa', 'beach', 'snorkeling']",2023-06-17
T1078,1119,Banff,5,239000,['snorkeling'],2023-08-23
T1079,1119,Denver,8,166000,"['beach', 'snorkeling']",2022-04-29
T1080,1119,Banff,7,273000,"['spa', 'snorkeling']",2022-09-13
T1081,1108,Cancun,4,68000,"['hiking', 'food tour', 'museum tour']",2024-06-20
T1082,1108,Barcelona,9,198000,"['food tour', 'museum tour']",2024-09-14
T1083,1108,Tokyo,9,86000,"['food tour', 'museum tour']",2022-07-17
T1084,1108,Denver,6,152000,"['hiking', 'food tour']",2023-04-13
T1085,1762,Tokyo,8,119000,['kayaking'],2023-04-28
T1086,1962,Denver,9,160000,['spa'],2023-10-15
T1087,1659,Cape Town,8,226000,['kayaking'],2022-07-14
T1088,1659,Rome,6,275000,"['safari', 'hiking']",2023-01-14
T1089,1659,Rome,9,317000,"['hiking', 'kayaking']",2024-08-31
T1090,1915,Barcelona,8,159000,['spa'],2024-04-21
T1091,1915,Bali,5,116000,"['spa', 'wine tasting']",2023-12-28
T1092,1915,Barcelona,5,181000,['wine tasting'],2025-05-25
T1093,1731,Cancun,5,73000,"['hiking', 'museum tour']",2023-10-26
T1094,1731,Denver,10,151000,"['hiking', 'museum tour', 'food tour']",2025-01-08
T1095,1731,Tokyo,9,118000,"['food tour', 'museum tour']",2024-04-23
T1096,1731,Denver,5,137000,['hiking'],2024-05-23
T1097,1731,Bali,6,125000,"['food tour', 'museum tour']",2023-09-06
T1098,1990,Bali,4,101000,['beach'],2023-11-08
T1099,1990,Rome,4,274000,"['spa', 'snorkeling']",2024-10-28
T1100,1574,Bali,3,121000,"['safari', 'hiking', 'kayaking']",2024-11-30
T1101,1830,Denver,9,142000,['snorkeling'],2023-01-18
T1102,1830,Bali,4,128000,['snorkeling'],2022-06-19
T1103,1830,Barcelona,3,189000,"['beach', 'spa']",2024-02-28
T1104,1830,Banff,9,231000,['spa'],2021-10-28
T1105,1830,Cancun,4,85000,['snorkeling'],2024-12-12
T1106,1200,Bali,3,120000,['kayaking'],2024-06-17
T1107,1200,Denver,9,136000,['hiking'],2023-04-13
T1108,1200,Denver,7,180000,['safari'],2023-06-12
T1109,1200,Bali,4,89000,['safari'],2022-03-11
T1110,1078,Banff,4,232000,"['shopping', 'spa', 'wine tasting']",2024-02-09
T1111,1078,Bali,7,89000,"['wine tasting', 'spa', 'shopping']",2022-06-29
T1112,1581,Cancun,8,96000,"['hiking', 'kayaking', 'safari']",2022-05-09
T1113,1581,Cancun,7,65000,"['hiking', 'safari', 'kayaking']",2022-11-10
T1114,1581,Cancun,8,65000,['hiking'],2025-05-23
T1115,1581,Cancun,7,70000,"['hiking', 'kayaking', 'safari']",2024-01-15
T1116,1581,Cancun,10,76000,"['kayaking', 'safari']",2024-01-03
T1117,1262,Tokyo,7,81000,"['kayaking', 'safari']",2025-02-20
T1118,1262,Barcelona,4,210000,['kayaking'],2024-04-23
T1119,1262,Tokyo,10,100000,"['kayaking', 'hiking']",2024-06-01
T1120,1619,Banff,4,318000,"['hiking', 'kayaking', 'safari']",2023-09-20
T1121,1619,Banff,10,238000,"['kayaking', 'hiking', 'safari']",2022-01-23
T1122,1619,Cape Town,8,228000,['hiking'],2024-02-17
T1123,1619,Banff,3,324000,['hiking'],2022-10-16
T1124,1619,Rome,9,255000,"['hiking', 'safari', 'kayaking']",2025-06-01
T1125,1957,Cancun,8,66000,"['snorkeling', 'beach']",2021-08-30
T1126,1957,Barcelona,4,181000,['beach'],2024-04-11
T1127,1957,Tokyo,4,104000,"['snorkeling', 'spa', 'beach']",2021-11-17
T1128,1156,Banff,6,282000,"['snorkeling', 'beach']",2023-05-16
T1129,1156,Banff,7,337000,"['beach', 'spa']",2025-02-15
T1130,1156,Cape Town,9,269000,"['spa', 'snorkeling']",2023-03-19
T1131,1090,Cape Town,10,231000,"['shopping', 'wine tasting']",2024-06-02
T1132,1090,Rome,7,283000,"['wine tasting', 'spa']",2021-07-18
T1133,1090,Cape Town,10,232000,"['wine tasting', 'spa']",2023-01-31
T1134,1090,Banff,4,286000,"['shopping', 'spa', 'wine tasting']",2022-02-28
T1135,1090,Tokyo,10,111000,['wine tasting'],2023-07-24
T1136,1101,Denver,4,172000,['cultural show'],2022-05-10
T1137,1101,Cape Town,5,282000,"['food tour', 'museum tour', 'cultural show']",2023-04-19
T1138,1101,Cancun,9,71000,['cultural show'],2021-11-05
T1139,1101,Rome,4,255000,"['cultural show', 'food tour']",2022-05-22
T1140,1101,Cancun,3,80000,"['food tour', 'cultural show']",2021-08-26
T1141,1094,Cape Town,3,238000,"['beach', 'snorkeling']",2023-06-12
T1142,1496,Barcelona,3,187000,['kayaking'],2021-11-02
T1143,1943,Banff,6,244000,"['spa', 'beach']",2025-01-24
T1144,1943,Bali,10,107000,"['snorkeling', 'beach']",2022-02-26
T1145,1943,Denver,5,148000,"['beach', 'snorkeling', 'spa']",2023-08-01
T1146,1943,Paris,4,600000,"['snorkeling', 'beach', 'spa']",2023-06-27
T1147,1041,Tokyo,7,92000,"['shopping', 'spa']",2023-09-22
T1148,1041,Tokyo,10,119000,"['wine tasting', 'spa', 'shopping']",2021-10-28
T1149,1661,Cancun,10,85000,['hiking'],2023-12-29
T1150,1661,Rome,9,223000,"['safari', 'hiking', 'kayaking']",2022-12-07
T1151,1661,Cancun,8,68000,"['kayaking', 'hiking']",2025-01-30
T1152,1862,Barcelona,5,150000,"['food tour', 'cultural show']",2024-03-17
T1153,1736,Barcelona,9,147000,['food tour'],2024-01-21
T1154,1736,Bali,9,121000,"['food tour', 'museum tour']",2022-11-12
T1155,1736,Tokyo,10,83000,"['museum tour', 'cultural show', 'food tour']",2023-04-28
T1156,1034,Cancun,8,71000,['kayaking'],2024-12-29
T1157,1034,Rome,8,301000,"['safari', 'kayaking', 'hiking']",2025-05-14
T1158,1034,Banff,5,262000,['safari'],2024-02-07
T1159,1034,Cape Town,4,252000,"['kayaking', 'hiking']",2022-12-14
T1160,1175,Bali,6,115000,"['beach', 'snorkeling', 'spa']",2022-09-18
T1161,1175,Tokyo,4,110000,"['spa', 'beach']",2021-09-23
T1162,1035,Barcelona,9,176000,"['spa', 'shopping']",2025-01-29
T1163,1035,Denver,4,146000,"['shopping', 'wine tasting', 'spa']",2023-11-15
T1164,1035,Barcelona,6,189000,"['wine tasting', 'spa']",2024-05-27
T1165,1035,Cape Town,10,239000,"['wine tasting', 'spa']",2024-03-28
T1166,1148,Tokyo,3,108000,"['safari', 'hiking', 'kayaking']",2024-07-12
T1167,1148,Paris,10,555000,"['kayaking', 'hiking', 'safari']",2023-05-19
T1168,1463,Denver,9,152000,['shopping'],2021-07-02
T1169,1599,Cancun,5,77000,['safari'],2025-03-31
T1170,1599,Denver,6,181000,['safari'],2022-06-13
T1171,1682,Bali,5,103000,"['kayaking', 'hiking']",2021-10-03
T1172,1987,Cancun,8,83000,"['kayaking', 'safari', 'hiking']",2022-09-30
T1173,1987,Cancun,4,83000,"['safari', 'kayaking', 'hiking']",2024-07-06
T1174,1987,Cancun,4,90000,"['hiking', 'kayaking', 'safari']",2022-06-25
T1175,1987,Cancun,6,74000,"['safari', 'hiking', 'kayaking']",2023-12-25
T1176,1700,Bali,10,112000,"['wine tasting', 'shopping']",2021-12-11
T1177,1700,Bali,4,117000,['wine tasting'],2023-04-18
T1178,1700,Bali,6,103000,"['spa', 'shopping']",2023-03-01
T1179,1700,Tokyo,9,81000,"['wine tasting', 'shopping', 'spa']",2023-02-18
T1180,1700,Cancun,6,94000,['shopping'],2024-09-05
T1181,1877,Bali,8,121000,"['kayaking', 'safari', 'hiking']",2022-10-23
T1182,1877,Cancun,5,81000,"['hiking', 'kayaking']",2023-02-23
T1183,1877,Bali,8,109000,"['hiking', 'kayaking', 'safari']",2021-08-29
T1184,1697,Tokyo,7,98000,"['wine tasting', 'shopping', 'spa']",2022-11-03
T1185,1374,Denver,7,146000,"['hiking', 'safari']",2025-03-19
T1186,1739,Cape Town,7,246000,"['hiking', 'safari']",2021-11-29
T1187,1739,Cape Town,7,234000,"['hiking', 'kayaking', 'safari']",2022-10-19
T1188,1739,Cape Town,6,333000,"['safari', 'hiking']",2022-01-17
T1189,1635,Rome,7,321000,['wine tasting'],2024-03-25
T1190,1635,Tokyo,7,100000,"['spa', 'shopping']",2022-12-29
T1191,1573,Tokyo,10,101000,"['spa', 'wine tasting']",2022-12-03
T1192,1472,Denver,5,177000,['museum tour'],2022-03-27
T1193,1472,Denver,7,144000,"['food tour', 'cultural show', 'museum tour']",2024-04-18
T1194,1472,Barcelona,10,146000,"['cultural show', 'food tour']",2022-01-06
T1195,1472,Bali,10,92000,"['museum tour', 'cultural show']",2024-03-02
T1196,1821,Cancun,4,89000,['safari'],2024-05-18
T1197,1821,Cancun,5,95000,['safari'],2023-05-23
T1198,1821,Cancun,5,71000,"['hiking', 'kayaking']",2022-04-22
T1199,1976,Phuket,4,501000,"['wine tasting', 'shopping']",2022-06-10
T1200,1017,Barcelona,3,169000,"['museum tour', 'cultural show', 'food tour']",2025-02-20
T1201,1017,Cancun,5,95000,['museum tour'],2024-03-07
T1202,1207,Barcelona,3,144000,"['food tour', 'museum tour', 'hiking']",2023-06-29
T1203,1207,Tokyo,5,114000,['museum tour'],2021-11-07
T1204,1207,Tokyo,5,85000,"['museum tour', 'hiking', 'food tour']",2023-10-09
T1205,1207,Denver,4,168000,"['museum tour', 'food tour']",2021-12-03
T1206,1207,Tokyo,10,99000,"['museum tour', 'food tour']",2023-12-18
T1207,1758,Cape Town,3,315000,['spa'],2022-03-17
T1208,1758,Denver,8,143000,"['wine tasting', 'shopping']",2025-06-05
T1209,1244,Barcelona,8,175000,"['beach', 'snorkeling', 'spa']",2022-05-24
T1210,1244,Tokyo,6,84000,['spa'],2021-08-18
T1211,1244,Barcelona,4,164000,"['beach', 'snorkeling', 'spa']",2021-08-15
T1212,1244,Cancun,9,90000,['snorkeling'],2022-12-25
T1213,1244,Tokyo,6,110000,"['spa', 'snorkeling']",2022-12-23
T1214,1822,Banff,6,304000,['hiking'],2022-04-29
T1215,1822,Barcelona,9,197000,"['safari', 'hiking', 'kayaking']",2022-11-10
T1216,1822,Cape Town,6,231000,"['safari', 'hiking', 'kayaking']",2021-12-01
T1217,1822,Denver,4,155000,['kayaking'],2024-01-20
T1218,1241,Bali,3,111000,"['snorkeling', 'spa']",2022-02-16
T1219,1241,Barcelona,3,180000,"['beach', 'spa']",2021-09-08
T1220,1065,Bali,5,101000,"['safari', 'kayaking', 'hiking']",2024-05-19
T1221,1065,Cancun,7,82000,"['kayaking', 'hiking']",2024-02-01
T1222,1065,Cancun,6,87000,"['kayaking', 'hiking', 'safari']",2023-03-12
T1223,1065,Denver,5,138000,"['hiking', 'safari', 'kayaking']",2024-06-06
T1224,1065,Bali,6,90000,"['hiking', 'kayaking', 'safari']",2025-03-10
T1225,1799,Cancun,6,93000,['spa'],2025-04-22
T1226,1799,Tokyo,8,112000,['beach'],2021-07-09
T1227,1799,Tokyo,5,118000,"['spa', 'beach']",2021-10-03
T1228,1799,Cancun,5,94000,"['spa', 'beach']",2024-08-11
T1229,1910,Cancun,8,96000,['wine tasting'],2024-05-17
T1230,1910,Cancun,3,68000,['shopping'],2022-04-17
T1231,1910,Cancun,5,81000,"['wine tasting', 'spa', 'shopping']",2024-09-28
T1232,1910,Cancun,3,79000,"['spa', 'wine tasting', 'shopping']",2023-09-18
T1233,1563,Barcelona,9,160000,"['museum tour', 'food tour', 'hiking']",2024-07-18
T1234,1563,Barcelona,10,196000,['museum tour'],2021-10-02
T1235,1191,Tokyo,5,83000,"['spa', 'beach']",2022-11-01
T1236,1191,Tokyo,5,109000,"['beach', 'spa']",2023-06-05
T1237,1191,Cancun,7,80000,"['beach', 'spa', 'snorkeling']",2024-10-26
T1238,1191,Bali,7,119000,"['beach', 'spa']",2024-07-28
T1239,1191,Bali,8,107000,['snorkeling'],2021-09-07
T1240,1364,Rome,3,239000,"['wine tasting', 'shopping', 'spa']",2024-07-10
T1241,1364,Cape Town,5,322000,"['shopping', 'wine tasting']",2021-08-11
T1242,1364,Cancun,4,72000,['wine tasting'],2023-01-22
T1243,1364,Paris,4,596000,['shopping'],2021-09-27
T1244,1364,Rome,3,263000,"['wine tasting', 'shopping']",2023-01-31
T1245,1747,Barcelona,8,164000,"['spa', 'wine tasting']",2022-07-08
T1246,1335,Cancun,5,72000,['safari'],2025-01-26
T1247,1335,Rome,4,256000,"['hiking', 'kayaking']",2023-12-25
T1248,1335,Rome,3,266000,['hiking'],2025-01-27
T1249,1335,Rome,4,252000,['safari'],2023-04-29
T1250,1223,Barcelona,3,207000,"['hiking', 'food tour']",2021-12-29
T1251,1223,Denver,7,160000,"['hiking', 'food tour', 'museum tour']",2021-10-30
T1252,1223,Cancun,4,67000,"['hiking', 'museum tour']",2021-10-14
T1253,1186,Barcelona,10,163000,['kayaking'],2022-11-04
T1254,1180,Cancun,4,90000,"['hiking', 'safari', 'kayaking']",2022-08-11
T1255,1180,Banff,7,331000,"['safari', 'kayaking', 'hiking']",2023-11-14
T1256,1267,Tokyo,3,121000,"['snorkeling', 'beach', 'spa']",2022-03-14
T1257,1267,Cancun,6,72000,['spa'],2025-01-14
T1258,1267,Cancun,6,81000,"['beach', 'snorkeling', 'spa']",2025-06-01
T1259,1267,Cancun,4,90000,"['spa', 'beach', 'snorkeling']",2023-09-24
T1260,1267,Cancun,5,88000,"['beach', 'snorkeling']",2023-10-13
T1261,1788,Banff,10,234000,"['spa', 'beach']",2022-05-30
T1262,1788,Bali,3,96000,"['spa', 'beach', 'snorkeling']",2025-01-08
T1263,1578,Phuket,9,495000,['spa'],2025-05-13
T1264,1578,Cancun,3,75000,"['wine tasting', 'spa']",2024-04-03
T1265,1578,Cancun,3,87000,['shopping'],2023-11-09
T1266,1578,Bali,5,115000,"['shopping', 'wine tasting', 'spa']",2022-09-05
T1267,1578,Bali,10,99000,['shopping'],2023-03-27
T1268,1643,Bali,4,107000,"['kayaking', 'hiking', 'safari']",2021-10-14
T1269,1643,Denver,10,134000,['safari'],2025-06-03
T1270,1643,Banff,3,263000,['hiking'],2024-02-14
T1271,1643,Denver,5,131000,['kayaking'],2023-03-11
T1272,1643,Banff,4,310000,['hiking'],2021-11-22
T1273,1419,Cancun,4,83000,['safari'],2022-01-18
T1274,1419,Cancun,9,96000,"['safari', 'kayaking']",2022-01-25
T1275,1419,Tokyo,9,110000,"['hiking', 'safari']",2023-11-12
T1276,1419,Tokyo,10,110000,"['hiking', 'safari']",2021-07-23
T1277,1494,Tokyo,7,120000,['safari'],2022-09-17
T1278,1494,Tokyo,3,95000,['kayaking'],2022-05-28
T1279,1494,Cancun,7,70000,"['safari', 'kayaking']",2024-03-19
T1280,1494,Bali,6,97000,"['hiking', 'kayaking', 'safari']",2024-05-15
T1281,1274,Rome,10,284000,"['food tour', 'hiking']",2023-04-06
T1282,1274,Cancun,9,94000,"['food tour', 'hiking', 'museum tour']",2023-09-04
T1283,1783,Paris,7,425000,"['beach', 'snorkeling', 'spa']",2021-09-10
T1284,1783,Paris,6,438000,['spa'],2022-10-05
T1285,1679,Cancun,4,72000,['food tour'],2024-03-12
T1286,1531,Rome,6,291000,"['snorkeling', 'beach']",2024-11-24
T1287,1320,Cape Town,3,298000,"['hiking', 'kayaking', 'safari']",2025-03-14
T1288,1331,Denver,8,143000,"['food tour', 'hiking', 'museum tour']",2023-11-28
T1289,1331,Barcelona,4,157000,['hiking'],2022-01-28
T1290,1331,Cape Town,6,316000,['hiking'],2023-03-15
T1291,1403,Bali,10,117000,"['spa', 'snorkeling', 'beach']",2022-03-16
T1292,1403,Barcelona,5,203000,"['snorkeling', 'beach', 'spa']",2023-07-19
T1293,1403,Bali,10,94000,['spa'],2024-11-23
T1294,1403,Cancun,4,90000,"['beach', 'spa', 'snorkeling']",2022-08-14
T1295,1154,Cancun,8,84000,['shopping'],2021-08-22
T1296,1154,Tokyo,9,96000,['spa'],2024-05-07
T1297,1154,Cancun,3,64000,"['spa', 'shopping']",2022-10-21
T1298,1154,Cancun,8,87000,['spa'],2024-12-30
T1299,1340,Cape Town,6,295000,['safari'],2023-11-16
T1300,1340,Bali,9,130000,"['hiking', 'safari']",2025-04-02
T1301,1340,Bali,8,116000,"['hiking', 'safari', 'kayaking']",2024-06-22
T1302,1340,Bali,8,114000,"['hiking', 'safari', 'kayaking']",2024-02-04
T1303,1013,Cape Town,6,330000,"['cultural show', 'food tour', 'museum tour']",2022-07-15
T1304,1013,Phuket,8,557000,"['cultural show', 'museum tour', 'food tour']",2025-01-22
T1305,1013,Denver,4,171000,['cultural show'],2025-05-10
T1306,1013,Tokyo,3,94000,"['cultural show', 'museum tour']",2021-07-28
T1307,1404,Bali,7,108000,"['safari', 'kayaking']",2024-01-08
T1308,1404,Denver,4,156000,"['hiking', 'kayaking']",2023-10-14
T1309,1404,Rome,4,234000,"['hiking', 'kayaking', 'safari']",2023-03-08
T1310,1486,Tokyo,8,113000,['beach'],2022-06-05
T1311,1486,Bali,5,108000,"['beach', 'spa']",2022-05-13
T1312,1486,Bali,4,117000,"['snorkeling', 'spa', 'beach']",2024-04-26
T1313,1486,Bali,8,95000,"['spa', 'beach']",2022-06-02
T1314,1436,Denver,5,145000,"['snorkeling', 'beach']",2023-07-18
T1315,1436,Barcelona,6,154000,"['spa', 'beach']",2025-05-13
T1316,1436,Cancun,3,68000,['beach'],2023-07-04
T1317,1436,Banff,4,340000,"['spa', 'beach', 'snorkeling']",2022-05-27
T1318,1921,Tokyo,4,95000,['spa'],2022-01-25
T1319,1897,Cancun,4,76000,['kayaking'],2024-09-03
T1320,1897,Cancun,5,70000,"['safari', 'hiking']",2022-10-13
T1321,1897,Bali,5,93000,"['hiking', 'safari', 'kayaking']",2024-07-07
T1322,1529,Barcelona,10,153000,"['hiking', 'museum tour']",2024-07-09
T1323,1529,Cancun,3,93000,"['food tour', 'hiking', 'museum tour']",2023-11-25
T1324,1529,Cancun,5,85000,"['museum tour', 'hiking']",2022-09-22
T1325,1785,Cancun,7,95000,"['beach', 'spa']",2022-09-16
T1326,1464,Cape Town,5,265000,['museum tour'],2024-07-21
T1327,1464,Cancun,5,79000,['hiking'],2024-05-21
T1328,1464,Rome,7,289000,"['museum tour', 'hiking', 'food tour']",2024-04-10
T1329,1464,Phuket,8,431000,"['food tour', 'hiking']",2021-08-22
T1330,1959,Cancun,5,84000,"['safari', 'hiking', 'kayaking']",2022-12-07
T1331,1434,Denver,6,167000,"['beach', 'spa']",2024-07-31
T1332,1434,Barcelona,10,181000,['snorkeling'],2022-09-16
T1333,1434,Barcelona,3,173000,"['spa', 'beach', 'snorkeling']",2022-02-11
T1334,1434,Bali,8,106000,['spa'],2022-12-05
T1335,1434,Tokyo,8,88000,"['beach', 'spa', 'snorkeling']",2025-03-07
T1336,1840,Rome,6,304000,['beach'],2024-04-03
T1337,1059,Banff,7,316000,"['spa', 'snorkeling', 'beach']",2021-11-29
T1338,1059,Cancun,9,89000,"['snorkeling', 'beach']",2021-11-07
T1339,1059,Banff,7,256000,"['spa', 'snorkeling']",2024-04-19
T1340,1059,Rome,4,237000,['spa'],2023-09-08
T1341,1873,Denver,7,136000,"['safari', 'kayaking', 'hiking']",2021-10-30
T1342,1873,Bali,7,110000,"['kayaking', 'hiking']",2023-04-13
T1343,1873,Barcelona,3,190000,"['hiking', 'kayaking', 'safari']",2023-10-21
T1344,1382,Paris,3,490000,['museum tour'],2022-03-13
T1345,1189,Denver,5,178000,"['kayaking', 'safari']",2023-06-26
T1346,1189,Bali,6,101000,"['safari', 'hiking', 'kayaking']",2022-03-09
T1347,1189,Denver,6,162000,"['kayaking', 'safari']",2021-09-20
T1348,1189,Barcelona,7,179000,"['hiking', 'kayaking']",2024-05-27
T1349,1491,Denver,7,146000,['spa'],2021-12-18
T1350,1491,Paris,6,559000,"['shopping', 'spa', 'wine tasting']",2024-03-22
T1351,1491,Cancun,9,86000,"['shopping', 'spa']",2021-12-17
T1352,1491,Banff,8,281000,['spa'],2021-07-01
T1353,1120,Tokyo,8,111000,['museum tour'],2023-09-26
T1354,1120,Tokyo,7,108000,"['museum tour', 'food tour', 'hiking']",2024-03-31
T1355,1120,Banff,9,273000,"['museum tour', 'food tour', 'hiking']",2021-10-01
T1356,1120,Bali,10,122000,['museum tour'],2023-10-23
T1357,1120,Denver,7,165000,['food tour'],2021-10-22
T1358,1443,Barcelona,9,154000,['safari'],2021-09-09
T1359,1443,Cancun,9,67000,"['safari', 'kayaking']",2024-02-25
T1360,1443,Cape Town,7,298000,['safari'],2022-10-26
T1361,1884,Denver,4,181000,"['kayaking', 'safari']",2024-01-06
T1362,1884,Cancun,3,79000,"['hiking', 'kayaking', 'safari']",2022-01-16
T1363,1884,Tokyo,8,112000,['kayaking'],2025-06-19
T1364,1884,Bali,8,95000,"['hiking', 'safari', 'kayaking']",2022-02-02
T1365,1884,Cancun,6,65000,"['safari', 'hiking']",2023-03-05
T1366,1314,Cancun,7,80000,['snorkeling'],2023-12-20
T1367,1003,Cape Town,8,303000,"['snorkeling', 'spa']",2021-11-13
T1368,1003,Banff,5,303000,"['spa', 'beach']",2024-08-03
T1369,1195,Denver,9,134000,"['cultural show', 'museum tour']",2024-09-07
T1370,1195,Banff,8,289000,"['cultural show', 'food tour']",2024-10-10
T1371,1195,Barcelona,9,184000,['food tour'],2022-10-02
T1372,1205,Denver,8,158000,"['hiking', 'kayaking', 'safari']",2023-04-27
T1373,1644,Cancun,6,68000,"['snorkeling', 'beach', 'spa']",2022-11-10
T1374,1644,Tokyo,6,90000,"['spa', 'snorkeling', 'beach']",2023-01-16
T1375,1644,Tokyo,4,121000,"['beach', 'spa']",2023-01-24
T1376,1701,Tokyo,6,104000,"['kayaking', 'safari', 'hiking']",2024-06-06
