trip_id,member_id,destination,start_date,duration_days,cost_usd,activities
T1029,1049,Denver,2021-10-08,8,139000,"kayaking, hiking, safari"
T1030,1049,Rome,2023-07-29,8,269000,hiking
T1031,1049,Barcelona,05/15/2025,6,210000,"safari, hiking"
T1032,1049,Bali,08/10/2022,5,111000,kayaking
T1033,1049,Denver,"July 18, 2024",8,171000,"safari, hiking, kayaking"
T1034,1487,Banff,"February 14, 2024",10,243000,"spa, beach, snorkeling"
T1035,1487,Rome,2021-09-02,6,233000,"spa, snorkeling"
T1036,1487,Cape Town,"June 22, 2024",6,303000,"snorkeling, spa"
T1037,1487,Barcelona,07/15/2023,9,179000,"snorkeling, spa, beach"
T1038,1487,Rome,2022-10-14,4,313000,"beach, spa, snorkeling"
T1039,1142,Tokyo,2022-02-28,8,119000,"wine tasting, spa"
T1040,1432,Paris,2025-06-05,8,418000,hiking
T1041,1432,Cape Town,02/06/2024,9,275000,"hiking, safari, kayaking"
T1042,1432,Cancun,"October 14, 2023",3,93000,hiking
T1043,1432,Cancun,03/12/2023,6,78000,"kayaking, hiking, safari"
T1044,1432,Tokyo,"March 17, 2024",4,93000,"safari, hiking"
T1045,1250,Cape Town,2023-05-22,3,258000,hiking
T1046,1250,Phuket,06/24/2025,9,590000,"hiking, safari, kayaking"
T1047,1806,Tokyo,"May 19, 2024",7,112000,"shopping, wine tasting, spa"
T1048,1806,Tokyo,01/23/2024,5,103000,"shopping, spa, wine tasting"
T1049,1806,Paris,2023-08-29,4,419000,"shopping, wine tasting"
T1050,1806,Denver,06/02/2022,9,183000,"shopping, wine tasting"
T1051,1806,Rome,08/25/2023,6,229000,"shopping, wine tasting, spa"
T1052,1133,Rome,2021-10-17,9,302000,"hiking, museum tour"
T1053,1133,Denver,01/19/2023,7,159000,food tour
T1054,1133,Cape Town,"July 05, 2023",10,268000,"hiking, museum tour, food tour"
T1055,1133,Rome,"June 27, 2024",4,313000,food tour
T1056,1104,Tokyo,"September 19, 2022",10,113000,hiking
T1057,1104,Bali,"May 22, 2023",5,129000,"hiking, safari, kayaking"
T1058,1104,Tokyo,04/24/2022,10,116000,hiking
T1059,1006,Banff,2025-06-18,9,286000,hiking
T1060,1006,Rome,2021-12-11,4,265000,"hiking, safari, kayaking"
T1061,1516,Banff,12/11/2022,3,270000,"kayaking, hiking, safari"
T1062,1516,Cape Town,2024-08-30,4,272000,"hiking, kayaking"
T1063,1504,Barcelona,"November 19, 2024",6,156000,"food tour, cultural show, museum tour"
T1064,1504,Tokyo,10/09/2021,6,90000,"food tour, cultural show"
T1065,1504,Rome,2021-10-12,10,220000,"museum tour, cultural show, food tour"
T1066,1504,Banff,"October 12, 2023",4,329000,"cultural show, food tour"
T1067,1992,Tokyo,2025-06-06,9,109000,"shopping, wine tasting"
T1068,1480,Cancun,"March 08, 2024",6,65000,"safari, hiking"
T1069,1429,Cancun,07/19/2022,4,71000,"snorkeling, beach, spa"
T1070,1553,Cape Town,09/17/2024,6,287000,snorkeling
T1071,1553,Rome,08/30/2023,8,245000,beach
T1072,1553,Cape Town,2021-11-11,9,246000,snorkeling
T1073,1553,Bali,2023-07-14,7,92000,"beach, snorkeling, spa"
T1074,1553,Denver,"August 22, 2023",3,133000,"beach, spa"
T1075,1347,Cape Town,2022-02-21,10,241000,snorkeling
T1076,1347,Tokyo,2022-09-05,3,83000,"beach, spa"
T1077,1119,Rome,06/17/2023,10,257000,"spa, beach, snorkeling"
T1078,1119,Banff,08/23/2023,5,239000,snorkeling
T1079,1119,Denver,"April 29, 2022",8,166000,"beach, snorkeling"
T1080,1119,Banff,"September 13, 2022",7,273000,"spa, snorkeling"
T1081,1108,Cancun,2024-06-20,4,68000,"hiking, food tour, museum tour"
T1082,1108,Barcelona,2024-09-14,9,198000,"food tour, museum tour"
T1083,1108,Tokyo,"July 17, 2022",9,86000,"food tour, museum tour"
T1084,1108,Denver,2023-04-13,6,152000,"hiking, food tour"
T1085,1762,Tokyo,04/28/2023,8,119000,kayaking
T1086,1962,Denver,2023-10-15,9,160000,spa
T1087,1659,Cape Town,07/14/2022,8,226000,kayaking
T1088,1659,Rome,"January 14, 2023",6,275000,"safari, hiking"
T1089,1659,Rome,08/31/2024,9,317000,"hiking, kayaking"
T1090,1915,Barcelona,2024-04-21,8,159000,spa
T1091,1915,Bali,12/28/2023,5,116000,"spa, wine tasting"
T1092,1915,Barcelona,2025-05-25,5,181000,wine tasting
T1093,1731,Cancun,"October 26, 2023",5,73000,"hiking, museum tour"
T1094,1731,Denver,01/08/2025,10,151000,"hiking, museum tour, food tour"
T1095,1731,Tokyo,2024-04-23,9,118000,"food tour, museum tour"
T1096,1731,Denver,"May 23, 2024",5,137000,hiking
T1097,1731,Bali,"September 06, 2023",6,125000,"food tour, museum tour"
T1098,1990,Bali,"November 08, 2023",4,101000,beach
T1099,1990,Rome,"October 28, 2024",4,274000,"spa, snorkeling"
T1100,1574,Bali,11/30/2024,3,121000,"safari, hiking, kayaking"
T1101,1830,Denver,"January 18, 2023",9,142000,snorkeling
T1102,1830,Bali,06/19/2022,4,128000,snorkeling
T1103,1830,Barcelona,"February 28, 2024",3,189000,"beach, spa"
T1104,1830,Banff,10/28/2021,9,231000,spa
T1105,1830,Cancun,2024-12-12,4,85000,snorkeling
T1106,1200,Bali,06/17/2024,3,120000,kayaking
T1107,1200,Denver,04/13/2023,9,136000,hiking
T1108,1200,Denver,06/12/2023,7,180000,safari
T1109,1200,Bali,03/11/2022,4,89000,safari
T1110,1078,Banff,"February 09, 2024",4,232000,"shopping, spa, wine tasting"
T1111,1078,Bali,2022-06-29,7,89000,"wine tasting, spa, shopping"
T1112,1581,Cancun,05/09/2022,8,96000,"hiking, kayaking, safari"
T1113,1581,Cancun,"November 10, 2022",7,65000,"hiking, safari, kayaking"
T1114,1581,Cancun,2025-05-23,8,65000,hiking
T1115,1581,Cancun,"January 15, 2024",7,70000,"hiking, kayaking, safari"
T1116,1581,Cancun,"January 03, 2024",10,76000,"kayaking, safari"
T1117,1262,Tokyo,"February 20, 2025",7,81000,"kayaking, safari"
T1118,1262,Barcelona,"April 23, 2024",4,210000,kayaking
T1119,1262,Tokyo,2024-06-01,10,100000,"kayaking, hiking"
T1120,1619,Banff,09/20/2023,4,318000,"hiking, kayaking, safari"
T1121,1619,Banff,"January 23, 2022",10,238000,"kayaking, hiking, safari"
T1122,1619,Cape Town,02/17/2024,8,228000,hiking
T1123,1619,Banff,10/16/2022,3,324000,hiking
T1124,1619,Rome,06/01/2025,9,255000,"hiking, safari, kayaking"
T1125,1957,Cancun,08/30/2021,8,66000,"snorkeling, beach"
T1126,1957,Barcelona,"April 11, 2024",4,181000,beach
T1127,1957,Tokyo,"November 17, 2021",4,104000,"snorkeling, spa, beach"
T1128,1156,Banff,2023-05-16,6,282000,"snorkeling, beach"
T1129,1156,Banff,"February 15, 2025",7,337000,"beach, spa"
T1130,1156,Cape Town,03/19/2023,9,269000,"spa, snorkeling"
T1131,1090,Cape Town,"June 02, 2024",10,231000,"shopping, wine tasting"
T1132,1090,Rome,07/18/2021,7,283000,"wine tasting, spa"
T1133,1090,Cape Town,"January 31, 2023",10,232000,"wine tasting, spa"
T1134,1090,Banff,02/28/2022,4,286000,"shopping, spa, wine tasting"
T1135,1090,Tokyo,"July 24, 2023",10,111000,wine tasting
T1136,1101,Denver,2022-05-10,4,172000,cultural show
T1137,1101,Cape Town,"April 19, 2023",5,282000,"food tour, museum tour, cultural show"
T1138,1101,Cancun,11/05/2021,9,71000,cultural show
T1139,1101,Rome,2022-05-22,4,255000,"cultural show, food tour"
T1140,1101,Cancun,2021-08-26,3,80000,"food tour, cultural show"
T1141,1094,Cape Town,06/12/2023,3,238000,"beach, snorkeling"
T1142,1496,Barcelona,2021-11-02,3,187000,kayaking
T1143,1943,Banff,2025-01-24,6,244000,"spa, beach"
T1144,1943,Bali,02/26/2022,10,107000,"snorkeling, beach"
T1145,1943,Denver,08/01/2023,5,148000,"beach, snorkeling, spa"
T1146,1943,Paris,06/27/2023,4,600000,"snorkeling, beach, spa"
T1147,1041,Tokyo,09/22/2023,7,92000,"shopping, spa"
T1148,1041,Tokyo,"October 28, 2021",10,119000,"wine tasting, spa, shopping"
T1149,1661,Cancun,"December 29, 2023",10,85000,hiking
T1150,1661,Rome,"December 07, 2022",9,223000,"safari, hiking, kayaking"
T1151,1661,Cancun,2025-01-30,8,68000,"kayaking, hiking"
T1152,1862,Barcelona,03/17/2024,5,150000,"food tour, cultural show"
T1153,1736,Barcelona,01/21/2024,9,147000,food tour
T1154,1736,Bali,"November 12, 2022",9,121000,"food tour, museum tour"
T1155,1736,Tokyo,2023-04-28,10,83000,"museum tour, cultural show, food tour"
T1156,1034,Cancun,2024-12-29,8,71000,kayaking
T1157,1034,Rome,"May 14, 2025",8,301000,"safari, kayaking, hiking"
T1158,1034,Banff,"February 07, 2024",5,262000,safari
T1159,1034,Cape Town,12/14/2022,4,252000,"kayaking, hiking"
T1160,1175,Bali,"September 18, 2022",6,115000,"beach, snorkeling, spa"
T1161,1175,Tokyo,09/23/2021,4,110000,"spa, beach"
T1162,1035,Barcelona,2025-01-29,9,176000,"spa, shopping"
T1163,1035,Denver,11/15/2023,4,146000,"shopping, wine tasting, spa"
T1164,1035,Barcelona,05/27/2024,6,189000,"wine tasting, spa"
T1165,1035,Cape Town,03/28/2024,10,239000,"wine tasting, spa"
T1166,1148,Tokyo,"July 12, 2024",3,108000,"safari, hiking, kayaking"
T1167,1148,Paris,2023-05-19,10,555000,"kayaking, hiking, safari"
T1168,1463,Denver,07/02/2021,9,152000,shopping
T1169,1599,Cancun,2025-03-31,5,77000,safari
T1170,1599,Denver,2022-06-13,6,181000,safari
T1171,1682,Bali,"October 03, 2021",5,103000,"kayaking, hiking"
T1172,1987,Cancun,"September 30, 2022",8,83000,"kayaking, safari, hiking"
T1173,1987,Cancun,07/06/2024,4,83000,"safari, kayaking, hiking"
T1174,1987,Cancun,2022-06-25,4,90000,"hiking, kayaking, safari"
T1175,1987,Cancun,"December 25, 2023",6,74000,"safari, hiking, kayaking"
T1176,1700,Bali,12/11/2021,10,112000,"wine tasting, shopping"
T1177,1700,Bali,2023-04-18,4,117000,wine tasting
T1178,1700,Bali,03/01/2023,6,103000,"spa, shopping"
T1179,1700,Tokyo,02/18/2023,9,81000,"wine tasting, shopping, spa"
T1180,1700,Cancun,09/05/2024,6,94000,shopping
T1181,1877,Bali,2022-10-23,8,121000,"kayaking, safari, hiking"
T1182,1877,Cancun,2023-02-23,5,81000,"hiking, kayaking"
T1183,1877,Bali,2021-08-29,8,109000,"hiking, kayaking, safari"
T1184,1697,Tokyo,11/03/2022,7,98000,"wine tasting, shopping, spa"
T1185,1374,Denver,"March 19, 2025",7,146000,"hiking, safari"
T1186,1739,Cape Town,11/29/2021,7,246000,"hiking, safari"
T1187,1739,Cape Town,2022-10-19,7,234000,"hiking, kayaking, safari"
T1188,1739,Cape Town,01/17/2022,6,333000,"safari, hiking"
T1189,1635,Rome,03/25/2024,7,321000,wine tasting
T1190,1635,Tokyo,"December 29, 2022",7,100000,"spa, shopping"
T1191,1573,Tokyo,12/03/2022,10,101000,"spa, wine tasting"
T1192,1472,Denver,03/27/2022,5,177000,museum tour
T1193,1472,Denver,"April 18, 2024",7,144000,"food tour, cultural show, museum tour"
T1194,1472,Barcelona,01/06/2022,10,146000,"cultural show, food tour"
T1195,1472,Bali,03/02/2024,10,92000,"museum tour, cultural show"
T1196,1821,Cancun,"May 18, 2024",4,89000,safari
T1197,1821,Cancun,05/23/2023,5,95000,safari
T1198,1821,Cancun,04/22/2022,5,71000,"hiking, kayaking"
T1199,1976,Phuket,06/10/2022,4,501000,"wine tasting, shopping"
T1200,1017,Barcelona,"February 20, 2025",3,169000,"museum tour, cultural show, food tour"
T1201,1017,Cancun,03/07/2024,5,95000,museum tour
T1202,1207,Barcelona,2023-06-29,3,144000,"food tour, museum tour, hiking"
T1203,1207,Tokyo,2021-11-07,5,114000,museum tour
T1204,1207,Tokyo,"October 09, 2023",5,85000,"museum tour, hiking, food tour"
T1205,1207,Denver,"December 03, 2021",4,168000,"museum tour, food tour"
T1206,1207,Tokyo,2023-12-18,10,99000,"museum tour, food tour"
T1207,1758,Cape Town,03/17/2022,3,315000,spa
T1208,1758,Denver,06/05/2025,8,143000,"wine tasting, shopping"
T1209,1244,Barcelona,2022-05-24,8,175000,"beach, snorkeling, spa"
T1210,1244,Tokyo,08/18/2021,6,84000,spa
T1211,1244,Barcelona,2021-08-15,4,164000,"beach, snorkeling, spa"
T1212,1244,Cancun,"December 25, 2022",9,90000,snorkeling
T1213,1244,Tokyo,2022-12-23,6,110000,"spa, snorkeling"
T1214,1822,Banff,04/29/2022,6,304000,hiking
T1215,1822,Barcelona,2022-11-10,9,197000,"safari, hiking, kayaking"
T1216,1822,Cape Town,12/01/2021,6,231000,"safari, hiking, kayaking"
T1217,1822,Denver,01/20/2024,4,155000,kayaking
T1218,1241,Bali,"February 16, 2022",3,111000,"snorkeling, spa"
T1219,1241,Barcelona,09/08/2021,3,180000,"beach, spa"
T1220,1065,Bali,05/19/2024,5,101000,"safari, kayaking, hiking"
T1221,1065,Cancun,02/01/2024,7,82000,"kayaking, hiking"
T1222,1065,Cancun,"March 12, 2023",6,87000,"kayaking, hiking, safari"
T1223,1065,Denver,06/06/2024,5,138000,"hiking, safari, kayaking"
T1224,1065,Bali,2025-03-10,6,90000,"hiking, kayaking, safari"
T1225,1799,Cancun,"April 22, 2025",6,93000,spa
T1226,1799,Tokyo,2021-07-09,8,112000,beach
T1227,1799,Tokyo,2021-10-03,5,118000,"spa, beach"
T1228,1799,Cancun,"August 11, 2024",5,94000,"spa, beach"
T1229,1910,Cancun,05/17/2024,8,96000,wine tasting
T1230,1910,Cancun,2022-04-17,3,68000,shopping
T1231,1910,Cancun,09/28/2024,5,81000,"wine tasting, spa, shopping"
T1232,1910,Cancun,09/18/2023,3,79000,"spa, wine tasting, shopping"
T1233,1563,Barcelona,07/18/2024,9,160000,"museum tour, food tour, hiking"
T1234,1563,Barcelona,10/02/2021,10,196000,museum tour
T1235,1191,Tokyo,2022-11-01,5,83000,"spa, beach"
T1236,1191,Tokyo,2023-06-05,5,109000,"beach, spa"
T1237,1191,Cancun,"October 26, 2024",7,80000,"beach, spa, snorkeling"
T1238,1191,Bali,"July 28, 2024",7,119000,"beach, spa"
T1239,1191,Bali,"September 07, 2021",8,107000,snorkeling
T1240,1364,Rome,2024-07-10,3,239000,"wine tasting, shopping, spa"
T1241,1364,Cape Town,"August 11, 2021",5,322000,"shopping, wine tasting"
T1242,1364,Cancun,"January 22, 2023",4,72000,wine tasting
T1243,1364,Paris,09/27/2021,4,596000,shopping
T1244,1364,Rome,"January 31, 2023",3,263000,"wine tasting, shopping"
T1245,1747,Barcelona,07/08/2022,8,164000,"spa, wine tasting"
T1246,1335,Cancun,2025-01-26,5,72000,safari
T1247,1335,Rome,2023-12-25,4,256000,"hiking, kayaking"
T1248,1335,Rome,2025-01-27,3,266000,hiking
T1249,1335,Rome,"April 29, 2023",4,252000,safari
T1250,1223,Barcelona,2021-12-29,3,207000,"hiking, food tour"
T1251,1223,Denver,"October 30, 2021",7,160000,"hiking, food tour, museum tour"
T1252,1223,Cancun,"October 14, 2021",4,67000,"hiking, museum tour"
T1253,1186,Barcelona,2022-11-04,10,163000,kayaking
T1254,1180,Cancun,"August 11, 2022",4,90000,"hiking, safari, kayaking"
T1255,1180,Banff,"November 14, 2023",7,331000,"safari, kayaking, hiking"
T1256,1267,Tokyo,"March 14, 2022",3,121000,"snorkeling, beach, spa"
T1257,1267,Cancun,"January 14, 2025",6,72000,spa
T1258,1267,Cancun,2025-06-01,6,81000,"beach, snorkeling, spa"
T1259,1267,Cancun,"September 24, 2023",4,90000,"spa, beach, snorkeling"
T1260,1267,Cancun,10/13/2023,5,88000,"beach, snorkeling"
T1261,1788,Banff,2022-05-30,10,234000,"spa, beach"
T1262,1788,Bali,01/08/2025,3,96000,"spa, beach, snorkeling"
T1263,1578,Phuket,"May 13, 2025",9,495000,spa
T1264,1578,Cancun,04/03/2024,3,75000,"wine tasting, spa"
T1265,1578,Cancun,"November 09, 2023",3,87000,shopping
T1266,1578,Bali,2022-09-05,5,115000,"shopping, wine tasting, spa"
T1267,1578,Bali,2023-03-27,10,99000,shopping
T1268,1643,Bali,10/14/2021,4,107000,"kayaking, hiking, safari"
T1269,1643,Denver,2025-06-03,10,134000,safari
T1270,1643,Banff,"February 14, 2024",3,263000,hiking
T1271,1643,Denver,2023-03-11,5,131000,kayaking
T1272,1643,Banff,"November 22, 2021",4,310000,hiking
T1273,1419,Cancun,"January 18, 2022",4,83000,safari
T1274,1419,Cancun,"January 25, 2022",9,96000,"safari, kayaking"
T1275,1419,Tokyo,2023-11-12,9,110000,"hiking, safari"
T1276,1419,Tokyo,07/23/2021,10,110000,"hiking, safari"
T1277,1494,Tokyo,2022-09-17,7,120000,safari
T1278,1494,Tokyo,"May 28, 2022",3,95000,kayaking
T1279,1494,Cancun,2024-03-19,7,70000,"safari, kayaking"
T1280,1494,Bali,2024-05-15,6,97000,"hiking, kayaking, safari"
T1281,1274,Rome,04/06/2023,10,284000,"food tour, hiking"
T1282,1274,Cancun,"September 04, 2023",9,94000,"food tour, hiking, museum tour"
T1283,1783,Paris,2021-09-10,7,425000,"beach, snorkeling, spa"
T1284,1783,Paris,10/05/2022,6,438000,spa
T1285,1679,Cancun,2024-03-12,4,72000,food tour
T1286,1531,Rome,"November 24, 2024",6,291000,"snorkeling, beach"
T1287,1320,Cape Town,"March 14, 2025",3,298000,"hiking, kayaking, safari"
T1288,1331,Denver,2023-11-28,8,143000,"food tour, hiking, museum tour"
T1289,1331,Barcelona,"January 28, 2022",4,157000,hiking
T1290,1331,Cape Town,03/15/2023,6,316000,hiking
T1291,1403,Bali,03/16/2022,10,117000,"spa, snorkeling, beach"
T1292,1403,Barcelona,"July 19, 2023",5,203000,"snorkeling, beach, spa"
T1293,1403,Bali,11/23/2024,10,94000,spa
T1294,1403,Cancun,2022-08-14,4,90000,"beach, spa, snorkeling"
T1295,1154,Cancun,"August 22, 2021",8,84000,shopping
T1296,1154,Tokyo,2024-05-07,9,96000,spa
T1297,1154,Cancun,10/21/2022,3,64000,"spa, shopping"
T1298,1154,Cancun,12/30/2024,8,87000,spa
T1299,1340,Cape Town,2023-11-16,6,295000,safari
T1300,1340,Bali,2025-04-02,9,130000,"hiking, safari"
T1301,1340,Bali,"June 22, 2024",8,116000,"hiking, safari, kayaking"
T1302,1340,Bali,02/04/2024,8,114000,"hiking, safari, kayaking"
T1303,1013,Cape Town,"July 15, 2022",6,330000,"cultural show, food tour, museum tour"
T1304,1013,Phuket,01/22/2025,8,557000,"cultural show, museum tour, food tour"
T1305,1013,Denver,2025-05-10,4,171000,cultural show
T1306,1013,Tokyo,2021-07-28,3,94000,"cultural show, museum tour"
T1307,1404,Bali,2024-01-08,7,108000,"safari, kayaking"
T1308,1404,Denver,2023-10-14,4,156000,"hiking, kayaking"
T1309,1404,Rome,03/08/2023,4,234000,"hiking, kayaking, safari"
T1310,1486,Tokyo,06/05/2022,8,113000,beach
T1311,1486,Bali,05/13/2022,5,108000,"beach, spa"
T1312,1486,Bali,2024-04-26,4,117000,"snorkeling, spa, beach"
T1313,1486,Bali,"June 02, 2022",8,95000,"spa, beach"
T1314,1436,Denver,07/18/2023,5,145000,"snorkeling, beach"
T1315,1436,Barcelona,05/13/2025,6,154000,"spa, beach"
T1316,1436,Cancun,"July 04, 2023",3,68000,beach
T1317,1436,Banff,"May 27, 2022",4,340000,"spa, beach, snorkeling"
T1318,1921,Tokyo,2022-01-25,4,95000,spa
T1319,1897,Cancun,09/03/2024,4,76000,kayaking
T1320,1897,Cancun,"October 13, 2022",5,70000,"safari, hiking"
T1321,1897,Bali,07/07/2024,5,93000,"hiking, safari, kayaking"
T1322,1529,Barcelona,2024-07-09,10,153000,"hiking, museum tour"
T1323,1529,Cancun,2023-11-25,3,93000,"food tour, hiking, museum tour"
T1324,1529,Cancun,"September 22, 2022",5,85000,"museum tour, hiking"
T1325,1785,Cancun,"September 16, 2022",7,95000,"beach, spa"
T1326,1464,Cape Town,"July 21, 2024",5,265000,museum tour
T1327,1464,Cancun,05/21/2024,5,79000,hiking
T1328,1464,Rome,2024-04-10,7,289000,"museum tour, hiking, food tour"
T1329,1464,Phuket,2021-08-22,8,431000,"food tour, hiking"
T1330,1959,Cancun,12/07/2022,5,84000,"safari, hiking, kayaking"
T1331,1434,Denver,"July 31, 2024",6,167000,"beach, spa"
T1332,1434,Barcelona,"September 16, 2022",10,181000,snorkeling
T1333,1434,Barcelona,02/11/2022,3,173000,"spa, beach, snorkeling"
T1334,1434,Bali,2022-12-05,8,106000,spa
T1335,1434,Tokyo,03/07/2025,8,88000,"beach, spa, snorkeling"
T1336,1840,Rome,"April 03, 2024",6,304000,beach
T1337,1059,Banff,11/29/2021,7,316000,"spa, snorkeling, beach"
T1338,1059,Cancun,2021-11-07,9,89000,"snorkeling, beach"
T1339,1059,Banff,2024-04-19,7,256000,"spa, snorkeling"
T1340,1059,Rome,09/08/2023,4,237000,spa
T1341,1873,Denver,10/30/2021,7,136000,"safari, kayaking, hiking"
T1342,1873,Bali,2023-04-13,7,110000,"kayaking, hiking"
T1343,1873,Barcelona,2023-10-21,3,190000,"hiking, kayaking, safari"
T1344,1382,Paris,03/13/2022,3,490000,museum tour
T1345,1189,Denver,06/26/2023,5,178000,"kayaking, safari"
T1346,1189,Bali,2022-03-09,6,101000,"safari, hiking, kayaking"
T1347,1189,Denver,09/20/2021,6,162000,"kayaking, safari"
T1348,1189,Barcelona,2024-05-27,7,179000,"hiking, kayaking"
T1349,1491,Denver,2021-12-18,7,146000,spa
T1350,1491,Paris,03/22/2024,6,559000,"shopping, spa, wine tasting"
T1351,1491,Cancun,2021-12-17,9,86000,"shopping, spa"
T1352,1491,Banff,2021-07-01,8,281000,spa
T1353,1120,Tokyo,"September 26, 2023",8,111000,museum tour
T1354,1120,Tokyo,03/31/2024,7,108000,"museum tour, food tour, hiking"
T1355,1120,Banff,"October 01, 2021",9,273000,"museum tour, food tour, hiking"
T1356,1120,Bali,"October 23, 2023",10,122000,museum tour
T1357,1120,Denver,"October 22, 2021",7,165000,food tour
T1358,1443,Barcelona,09/09/2021,9,154000,safari
T1359,1443,Cancun,02/25/2024,9,67000,"safari, kayaking"
T1360,1443,Cape Town,2022-10-26,7,298000,safari
T1361,1884,Denver,"January 06, 2024",4,181000,"kayaking, safari"
T1362,1884,Cancun,2022-01-16,3,79000,"hiking, kayaking, safari"
T1363,1884,Tokyo,"June 19, 2025",8,112000,kayaking
T1364,1884,Bali,"February 02, 2022",8,95000,"hiking, safari, kayaking"
T1365,1884,Cancun,03/05/2023,6,65000,"safari, hiking"
T1366,1314,Cancun,2023-12-20,7,80000,snorkeling
T1367,1003,Cape Town,2021-11-13,8,303000,"snorkeling, spa"
T1368,1003,Banff,"August 03, 2024",5,303000,"spa, beach"
T1369,1195,Denver,2024-09-07,9,134000,"cultural show, museum tour"
T1370,1195,Banff,"October 10, 2024",8,289000,"cultural show, food tour"
T1371,1195,Barcelona,"October 02, 2022",9,184000,food tour
T1372,1205,Denver,04/27/2023,8,158000,"hiking, kayaking, safari"
T1373,1644,Cancun,11/10/2022,6,68000,"snorkeling, beach, spa"
T1374,1644,Tokyo,"January 16, 2023",6,90000,"spa, snorkeling, beach"
T1375,1644,Tokyo,"January 24, 2023",4,121000,"beach, spa"
T1376,1701,Tokyo,"June 06, 2024",6,104000,"kayaking, safari, hiking"
T1377,1455,Rome,2023-10-24,8,315000,"beach, spa, snorkeling"
T1378,1455,Tokyo,2023-02-19,8,108000,"beach, spa, snorkeling"
T1379,1874,Tokyo,06/29/2022,7,86000,wine tasting
T1380,1874,Tokyo,2024-04-16,10,120000,"wine tasting, shopping, spa"
T1381,1874,Tokyo,"June 25, 2025",10,96000,spa
T1382,1874,Banff,"December 04, 2021",4,291000,"shopping, wine tasting"
T1383,1874,Cancun,2022-11-17,3,91000,"shopping, wine tasting"
T1384,1923,Cancun,06/02/2023,9,90000,"hiking, safari"
T1385,1923,Bali,2021-11-03,4,130000,hiking
T1386,1923,Phuket,01/30/2022,10,440000,kayaking
T1387,1923,Cape Town,2022-07-06,9,229000,"safari, hiking"
T1388,1720,Barcelona,"May 23, 2023",7,200000,"kayaking, hiking, safari"
T1389,1720,Tokyo,"September 04, 2021",6,91000,"hiking, safari, kayaking"
T1390,1306,Denver,"June 20, 2025",10,182000,"safari, kayaking, hiking"
T1391,1306,Tokyo,"December 21, 2021",3,113000,safari
T1392,1306,Banff,10/10/2023,10,253000,"kayaking, hiking, safari"
T1393,1482,Tokyo,09/07/2021,6,106000,"cultural show, museum tour"
T1394,1482,Bali,2023-05-27,6,108000,cultural show
T1395,1482,Rome,2025-05-24,9,315000,"food tour, museum tour"
T1396,1482,Cancun,2024-01-16,9,92000,"food tour, museum tour"
T1397,1002,Bali,2022-07-26,5,97000,"kayaking, safari"
T1398,1946,Tokyo,2025-01-03,10,112000,"cultural show, food tour, museum tour"
T1399,1946,Bali,"August 25, 2022",9,120000,museum tour
T1400,1946,Cancun,"May 01, 2025",10,86000,"museum tour, cultural show"
T1401,1946,Cancun,03/29/2025,9,88000,"museum tour, food tour"
T1402,1946,Cancun,03/30/2022,4,78000,food tour
T1403,1818,Tokyo,"December 13, 2023",8,101000,spa
T1404,1818,Tokyo,2021-12-05,8,119000,"snorkeling, spa, beach"
T1405,1818,Cancun,05/19/2025,10,68000,"snorkeling, beach, spa"
